course_name,theory_credits,practical_credits,total_credits,note,class
Chương trình dịch,2,0,2,,22NS
Lập trình Python,2,1,3,,22NS
Mật mã học,3,0,3,,22NS
Chuyên đề 3 (IT),2,0,2,Tấn công và phòng thủ ứng dụng web,22NS
Đồ án chuyên ngành 2 (IT),0,1,1,,22NS
Kiểm thử xâm nhập,1.5,0.5,2,,22NS
Thực tập doanh nghiệp (IT),0,3,3,,22NS
TỔNG,14.5,5.5,20,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23NS1->2
Trí tuệ nhân tạo,2,1,3,,23NS1->2
Đồ án cơ sở 4,0,1,1,,23NS1->2
Thực tập thực tế (IT),0,1,1,,23NS1->2
Tiếng Anh nâng cao 3,2,0,2,,23NS1->2
Truyền số liệu,2,0,2,,23NS1->2
Linux và phần mềm nguồn mở,1.5,0.5,2,,23NS1->2
Chuyển mạch và định tuyến,2,1,3,,23NS1->2
Thiết kế và xây dựng hệ thống mạng,1,1,2,,23NS1->2
Chuyên đề 1 (IT),2,0,2,"Chuyển mạch, định tuyến và bảo mật hạ tầng mạng",23NS1->2
TỔNG,11,5,20,,
,,,,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Chủ nghĩa xã hội khoa học,2,0,2,,22IRB
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22IRB
Kỹ thuật Robot,2,0,2,,22IRB
Chuyên đề 3 (IT),2,0,2,Hệ thống thông minh,22IRB
Đồ án chuyên ngành 2 (IT),0,1,1,,22IRB
Lập trình Python cho hệ thống nhúng,2,1,3,,22IRB
Mạng cảm biến không dây,1.5,0.5,2,,22IRB
TỔNG,11.5,2.5,14,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24NS
Tiếng Anh 3,2,0,2,,24NS
Giải tích 2,2,0,2,,24NS
Vật lý,2,0,2,,24NS
Giáo dục thể chất 3,0,1,1,,24NS
Lập trình hướng đối tượng,2,0,2,,24NS
Phân tích và thiết kế hệ thống,3,0,3,,24NS
Lập trình Python,2,1,3,,24NS
Đồ án cơ sở 2 (IT),0,1,1,,24NS
Tiếng Hàn 2,3,0,3,Tự chọn,24NS
TỔNG,16,3,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 1,3,0,3,,25NS
Nhập môn ngành và kỹ năng mềm (IT),1,1,2,,25NS
Lập trình cơ bản,2,0,3,,25NS
Giải tích 1,2,0,2,,25NS
Giáo dục thể chất 1,0,1,1,,25NS
Cơ sở dữ liệu,2.5,0.5,3,,25NS
Kiến trúc máy tính,3,0,3,,25NS
Tiếng Anh chuyên ngành 1 (IT),1,1,2,,25NS
TỔNG,14.5,3.5,19,,
,,,,,
,,,,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22DM
Tư tưởng Hồ Chí Minh,2,0,2,,22DM
Khởi sự kinh doanh,3,0,3,,22DM
Phân tích Marketing số,1.5,0.5,2,,22DM
Quảng cáo hiển thị và video,1.5,0.5,2,,22DM
Chuyên đề 1 (BA),1.5,0.5,2,Trực quan hóa dữ liệu,22DM
Chiến lược Digital Marketing,3,0,3,,22DM
TỔNG,14.5,1.5,16,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22BA
Tư tưởng Hồ Chí Minh,2,0,2,,22BA
Khởi sự kinh doanh,3,0,3,,22BA
An toàn và bảo mật trong TMĐT,1.5,0.5,2,,22BA
Thiết kế Website Thương mại điện tử 2,1.5,0.5,2,,22BA
Quản trị thương hiệu,2,0,2,,22BA
Chuyên đề 2 (BA),1.5,0.5,2,Blockchain trong TMĐT,22BA
Quản trị bán hàng,2,0,2,,22BA
TỔNG,15.5,1.5,17,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22GBA-DM
Tư tưởng Hồ Chí Minh,2,0,2,,22GBA-DM
Khởi sự kinh doanh,3,0,3,,22GBA-DM
Phân tích Marketing số,1.5,0.5,2,,22GBA-DM
Quảng cáo hiển thị và video,1.5,0.5,2,,22GBA-DM
Chuyên đề 1 (BA),1.5,0.5,2,Trực quan hóa dữ liệu,22GBA-DM
Chiến lược Digital Marketing,3,0,3,,22GBA-DM
TỔNG,14.5,1.5,16,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22GBA-BA
Tư tưởng Hồ Chí Minh,2,0,2,,22GBA-BA
Khởi sự kinh doanh,3,0,3,,22GBA-BA
An toàn và bảo mật trong TMĐT,1.5,0.5,2,,22GBA-BA
Thiết kế Website Thương mại điện tử 2,1.5,0.5,2,,22GBA-BA
Quản trị thương hiệu,2,0,2,,22GBA-BA
Chuyên đề 2 (BA),1.5,0.5,2,Blockchain trong TMĐT,22GBA-BA
Quản trị bán hàng,2,0,2,,22GBA-BA
TỔNG,15.5,1.5,17,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22ET
Tư tưởng Hồ Chí Minh,2,0,2,,22ET
Khởi sự kinh doanh,3,0,3,,22ET
Quản trị chất lượng dịch vụ du lịch,2,0,2,,22ET
Thanh toán quốc tế trong du lịch,1.5,0.5,2,,22ET
Nghiệp vụ hướng dẫn du lịch,1.5,0.5,2,,22ET
Chuyên đề 2 (BA),1.5,0.5,2,Du lịch bền vững,22ET
TỔNG,13.5,1.5,15,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng cộng sản Việt Nam,2,0,2,,22EL1->2
Tư tưởng Hồ Chí Minh,2,0,2,,22EL1->2
Khởi sự kinh doanh,3,0,3,,22EL1->2
Thực hành mô phỏng trong Logistics,0,2,2,,22EL1->2
An toàn và bảo mật trong E-logistics,2,0,2,,22EL1->2
Khai phá và lưu trữ dữ liệu Logistics,1.5,0.5,2,,22EL1->2
Chiến lược kinh doanh điện tử,2,0,2,,22EL1->2
TỔNG,12.5,2.5,15,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22EF
Tư tưởng Hồ Chí Minh,2,0,2,,22EF
Khởi sự kinh doanh,3,0,3,,22EF
Đầu tư tài chính,2,0,2,,22EF
Hệ thống thanh toán quốc tế,2,0,2,,22EF
An toàn bảo mật thông tin tài chính,1.5,0.5,2,,22EF
Chuyên đề 2 (BA),2,0,2,Đổi mới sáng tạo trong tài chính,22EF
TỔNG,14.5,0.5,15,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lịch sử Đảng Cộng Sản Việt Nam,2,0,2,,22IM
Tư tưởng Hồ Chí Minh,2,0,2,,22IM
Khởi sự kinh doanh,3,0,3,,22IM
Lập dự án đầu tư,2.5,0.5,3,,22IM
Quản lý rủi ro dự án CNTT,2.5,0.5,3,,22IM
Quản lý dự án Công nghệ thông tin,2.5,0.5,3,,22IM
Công nghệ website,1.5,0.5,2,,22IM
TỔNG,16,2,18,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23DM1->2
Đạo đức trong kinh doanh,2,0,2,,23DM1->2
Tiếng Anh nâng cao 2,2,0,2,,23DM1->2
Kinh doanh quốc tế,3,0,3,,23DM1->2
Truyền thông marketing tích hợp (IMC),3,0,3,,23DM1->2
Phương pháp NCKH trong kinh doanh,1.5,0.5,2,,23DM1->2
Marketing truyền thông xã hội,1.5,0.5,2,,23DM1->2
Quản trị trải nghiệm khách hàng,2,0,2,,23DM1->2
Đề án 4 (BA),0,1,1,,23DM1->2
TỔNG,18,2,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23BA
Đạo đức trong kinh doanh,2,0,2,,23BA
Kinh doanh quốc tế,3,0,3,,23BA
Tiếng Anh nâng cao 2,2,0,2,,23BA
Quản trị chuỗi cung ứng,2,0,2,,23BA
Phương pháp NCKH trong kinh doanh,1.5,0.5,2,,23BA
Chiến lược kinh doanh điện tử,2,0,2,,23BA
Thanh toán điện tử,1.5,0.5,2,,23BA
Đề án 4 (BA),0,1,1,,23BA
TỔNG,17,2,19,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23GBA-BA
Đạo đức trong kinh doanh,2,0,2,,23GBA-BA
Kinh doanh quốc tế,3,0,3,,23GBA-BA
Tiếng Anh nâng cao 2,2,0,2,,23GBA-BA
Quản trị chuỗi cung ứng,2,0,2,,23GBA-BA
Phương pháp NCKH trong kinh doanh,1.5,0.5,2,,23GBA-BA
Chiến lược kinh doanh điện tử,2,0,2,,23GBA-BA
Thanh toán điện tử,1.5,0.5,2,,23GBA-BA
Đề án 4 (BA),0,1,1,,23GBA-BA
TỔNG,17,2,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23GBA-DM
Đạo đức trong kinh doanh,2,0,2,,23GBA-DM
Tiếng Anh nâng cao 2,2,0,2,,23GBA-DM
Kinh doanh quốc tế,3,0,3,,23GBA-DM
Truyền thông marketing tích hợp (IMC),3,0,3,,23GBA-DM
Phương pháp NCKH trong kinh doanh,1.5,0.5,2,,23GBA-DM
Marketing truyền thông xã hội,1.5,0.5,2,,23GBA-DM
Quản trị trải nghiệm khách hàng,2,0,2,,23GBA-DM
Đề án 4 (BA),0,1,1,,23GBA-DM
TỔNG,18,2,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23ET
Đạo đức trong kinh doanh,2,0,2,,23ET
Kinh doanh quốc tế,3,0,3,,23ET
Tiếng Anh nâng cao 2,2,0,2,,23ET
Hành vi tiêu dùng du lịch,3,0,3,,23ET
Thương mại điện tử cơ bản,2,0,2,,23ET
Quản trị kinh doanh lữ hành,3,0,3,,23ET
Đề án 4 (BA),0,1,1,,23ET
TỔNG,18,1,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23EL1->2
Đạo đức trong kinh doanh,2,0,2,,23EL1->2
Tiếng Anh nâng cao 2,2,0,2,,23EL1->2
Quản trị xuất nhập khẩu,2,0,2,,23EL1->2
Quản trị chuỗi cung ứng,2,0,2,,23EL1->2
Thanh toán quốc tế,2,0,2,,23EL1->2
Tổ chức vận tải đa phương thức,2,0,2,,23EL1->2
Đề án 4 (BA),0,1,1,,23EL1->2
Quản trị kho hàng,2,0,2,,23EL1->2
TỔNG,17,1,18,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23EF
Đạo đức trong kinh doanh,2,0,2,,23EF
Kinh doanh quốc tế,3,0,3,,23EF
Quản trị tài chính,3,0,3,,23EF
Tiếng Anh nâng cao 2,2,0,2,,23EF
Lập trình Python (BA),2,0,2,,23EF
Phân tích tài chính doanh nghiệp,2,0,2,,23EF
Đề án 4 (BA),0,1,1,,23EF
TỔNG,17,1,18,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23IM
Đạo đức trong kinh doanh,2,0,2,,23IM
Tiếng Anh nâng cao 2,2,0,2,,23IM
Kinh doanh quốc tế,3,0,3,,23IM
Lập dự án đầu tư,2.5,0.5,3,,23IM
Thiết kế website,1.5,0.5,2,,23IM
Công nghệ website,1.5,0.5,2,,23IM
Đề án 4 (BA),0,1,1,,23IM
TỔNG,15.5,2.5,18,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24GBA
Tiếng Anh 3,2,0,2,,24GBA
Giáo dục thể chất 3,0,1,1,,24GBA
Thống kê kinh doanh,3,0,3,,24GBA
Nguyên lý kế toán,3,0,3,,24GBA
Hệ thống thông tin quản lý,3,0,3,,24GBA
Toán ứng dụng trong kinh tế,3,0,3,,24GBA
Đề án 2 (BA),0,1,1,,24GBA
Thương mại điện tử,3,0,3,,24GBA
TỔNG,17,2,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24ET
Tiếng Anh 3,2,0,2,,24ET
Giáo dục thể chất 3,0,1,1,,24ET
Thống kê kinh doanh,3,0,3,,24ET
Nguyên lý kế toán,3,0,3,,24ET
Hệ thống thông tin quản lý,3,0,3,,24ET
Toán ứng dụng trong kinh tế,3,0,3,,24ET
Đề án 2 (BA),0,1,1,,24ET
Tổng quan về du lịch,3,0,3,,24ET
TỔNG,17,2,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,"24GEL,24EL"
Tiếng Anh 3,2,0,2,,"24GEL,24EL"
Giáo dục thể chất 3,0,1,1,,"24GEL,24EL"
Thống kê kinh doanh,3,0,3,,"24GEL,24EL"
Nguyên lý kế toán,3,0,3,,"24GEL,24EL"
Hệ thống thông tin quản lý,3,0,3,,"24GEL,24EL"
Toán ứng dụng trong kinh tế,3,0,3,,"24GEL,24EL"
Đề án 2 (BA),0,1,1,,"24GEL,24EL"
Nhập môn E-logistics,3,0,3,,"24GEL,24EL"
Quản trị cơ sở dữ liệu,1.5,0.5,2,,"24GEL,24EL"
TỔNG,18.5,2.5,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24EF
Tiếng Anh 3,2,0,2,,24EF
Giáo dục thể chất 3,0,1,1,,24EF
Thống kê kinh doanh,3,0,3,,24EF
Nguyên lý kế toán,3,0,3,,24EF
Hệ thống thông tin quản lý,3,0,3,,24EF
Toán ứng dụng trong kinh tế,3,0,3,,24EF
Đề án 2 (BA),0,1,1,,24EF
Nhập môn Tài chính số,2,0,2,,24EF
TỔNG,16,2,18,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24IM
Tiếng Anh 3,2,0,2,,24IM
Giáo dục thể chất 3,0,1,1,,24IM
Thống kê kinh doanh,3,0,3,,24IM
Nguyên lý kế toán,3,0,3,,24IM
Hệ thống thông tin quản lý,3,0,3,,24IM
Toán ứng dụng trong kinh tế,3,0,3,,24IM
Đề án 2 (BA),0,1,1,,24IM
Nhập môn quản lý dự án,2,0,2,,24IM
TỔNG,16,2,18,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tin học đại cương,2.5,0.5,3,,"25GBA,25GEL,25EL,25ET,25IM"
Pháp luật đại cương,2,0,2,,"25GBA,25GEL,25EL,25ET,25IM"
Tiếng Anh 1,3,0,3,,"25GBA,25GEL,25EL,25ET,25IM"
Nhập môn ngành & kỹ năng mềm (BA),1.5,0.5,2,,"25GBA,25GEL,25EL,25ET,25IM"
Giáo dục thể chất 1,0,1,1,,"25GBA,25GEL,25EL,25ET,25IM"
Quản trị học,3,0,3,,"25GBA,25GEL,25EL,25ET,25IM"
Kinh tế vi mô,3,0,3,,"25GBA,25GEL,25EL,25ET,25IM"
Tiếng Anh chuyên ngành 1 (BA),1.5,0.5,2,,"25GBA,25GEL,25EL,25ET,25IM"
TỔNG,16.5,2.5,19,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,"24GDM,24DM"
Tiếng Anh 3,2,0,2,,"24GDM,24DM"
Giáo dục thể chất 3,0,1,1,,"24GDM,24DM"
Phương pháp nghiên cứu khoa học trong KD,2.5,0.5,3,,"24GDM,24DM"
Hệ thống thông tin quản lý,3,0,3,,"24GDM,24DM"
Digital Marketing,3,0,3,,"24GDM,24DM"
Hành vi người tiêu dùng,3,0,3,,"24GDM,24DM"
Đề án 2 (BA),0,1,1,,"24GDM,24DM"
TỔNG,13.5,2.5,16,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tin học đại cương,2.5,0.5,3,,"25GDM,25DM"
Tiếng Anh 1,3,0,3,,"25GDM,25DM"
Pháp luật đại cương,2,0,2,,"25GDM,25DM"
Giáo dục thể chất 1,0,1,1,,"25GDM,25DM"
Nhập môn ngành & kỹ năng mềm (BA),1.5,0.5,2,,"25GDM,25DM"
Quản trị học,3,0,3,,"25GDM,25DM"
Kinh tế vi mô,3,0,3,,"25GDM,25DM"
Tiếng Anh chuyên ngành 1,1.5,0.5,2,,"25GDM,25DM"
TỔNG,16.5,2.5,19,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tin học ứng dụng trong kinh doanh,2.5,0.5,3,,25EF
Pháp luật đại cương,2,0,2,,25EF
Tiếng Anh 1,3,0,3,,25EF
Nhập môn ngành & kỹ năng mềm (BA),1.5,0.5,2,,25EF
Giáo dục thể chất 1,0,1,1,,25EF
Kinh tế vi mô,3,0,3,,25EF
Marketing căn bản,3,0,3,,25EF
Lập trình Python (BA),2.5,0.5,3,,25EF
TỔNG,17.5,2.5,20,,
